Data_Hora_Recepcao;idBIoT;timestamp;inside;outside;erro
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:48:683;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:48:725;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:48:766;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:48:808;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:48:849;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:48:890;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:48:932;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:48:972;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:013;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:054;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:095;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:137;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:182;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:227;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:273;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:321;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:368;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:414;4;198;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:460;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:506;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:552;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:597;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:644;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:690;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:737;4;198;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:783;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:831;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:876;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:921;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:49:966;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:010;4;198;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:054;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:098;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:143;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:189;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:233;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:279;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:325;4;198;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:371;4;198;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:417;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:463;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:507;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:552;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:596;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:644;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:690;4;198;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:736;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:783;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:827;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:871;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:915;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:50:959;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:003;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:048;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:094;4;198;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:140;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:187;4;198;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:232;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:279;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:325;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:370;4;197;0
